and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
or,11000000000000111110000001,1111000000001110000000000001
and,11000000001100000000100000000111,111000000000000000011111
